Date,Open,High,Low,Close,Adj Close ,Volume
"Aug 5, 2024",154.21,162.96,151.61,161.02,161.02,"83,149,400"
"Aug 2, 2024",166.75,168.77,160.55,167.9,167.9,"141,448,400"
"Aug 1, 2024",189.29,190.6,181.87,184.07,184.07,"70,435,600"
"Jul 31, 2024",185.05,187.94,184.46,186.98,186.98,"41,667,300"
"Jul 30, 2024",184.72,185.86,179.38,181.71,181.71,"39,508,600"
"Jul 29, 2024",183.84,184.75,182.38,183.2,183.2,"33,270,100"
"Jul 26, 2024",180.39,183.19,180.24,182.5,182.5,"29,506,000"
"Jul 25, 2024",182.91,183.9,176.8,179.85,179.85,"44,464,200"
"Jul 24, 2024",183.2,185.45,180.41,180.83,180.83,"41,532,400"
"Jul 23, 2024",184.1,189.39,183.56,186.41,186.41,"47,537,700"
"Jul 22, 2024",185,185.06,182.48,182.55,182.55,"39,931,900"
"Jul 19, 2024",181.14,184.93,180.11,183.13,183.13,"43,081,800"
"Jul 18, 2024",189.59,189.68,181.45,183.75,183.75,"51,043,600"
"Jul 17, 2024",191.35,191.58,185.99,187.93,187.93,"48,076,100"
"Jul 16, 2024",195.59,196.62,192.24,193.02,193.02,"33,994,700"
"Jul 15, 2024",194.56,196.19,190.83,192.72,192.72,"40,683,200"
"Jul 12, 2024",194.8,196.47,193.83,194.49,194.49,"30,598,500"
"Jul 11, 2024",200.09,200.27,192.86,195.05,195.05,"44,565,000"
"Jul 10, 2024",200,200.11,197.69,199.79,199.79,"32,883,800"
"Jul 9, 2024",199.4,200.57,199.05,199.34,199.34,"32,700,100"
"Jul 8, 2024",200.04,201.2,197.96,199.29,199.29,"34,767,300"
"Jul 5, 2024",198.65,200.55,198.17,200,200,"39,858,900"
"Jul 3, 2024",199.94,200.03,196.76,197.59,197.59,"31,597,900"
"Jul 2, 2024",197.28,200.43,195.93,200,200,"45,600,000"
"Jul 1, 2024",193.49,198.3,192.82,197.2,197.2,"41,192,000"
"Jun 28, 2024",197.73,198.85,192.5,193.25,193.25,"76,930,200"
"Jun 27, 2024",195.01,199.84,194.2,197.85,197.85,"74,397,500"
"Jun 26, 2024",186.92,194.8,186.26,193.61,193.61,"65,103,900"
"Jun 25, 2024",186.81,188.84,185.42,186.34,186.34,"45,898,500"
"Jun 24, 2024",189.33,191,185.33,185.57,185.57,"50,610,400"
"Jun 21, 2024",187.8,189.28,185.86,189.08,189.08,"72,931,800"
"Jun 20, 2024",182.91,186.51,182.72,186.1,186.1,"44,726,800"
"Jun 18, 2024",183.74,184.29,181.43,182.81,182.81,"36,659,200"
"Jun 17, 2024",182.52,185,181.22,184.06,184.06,"35,601,900"
"Jun 14, 2024",183.08,183.72,182.23,183.66,183.66,"25,456,400"
"Jun 13, 2024",186.09,187.67,182.67,183.83,183.83,"39,721,500"
"Jun 12, 2024",188.02,188.35,185.43,186.89,186.89,"33,984,200"
"Jun 11, 2024",187.06,187.77,184.54,187.23,187.23,"27,265,100"
"Jun 10, 2024",184.07,187.23,183.79,187.06,187.06,"34,494,500"
"Jun 7, 2024",184.9,186.29,183.36,184.3,184.3,"28,021,500"
"Jun 6, 2024",181.75,185,181.49,185,185,"31,371,200"
"Jun 5, 2024",180.1,181.5,178.75,181.28,181.28,"32,116,400"
"Jun 4, 2024",177.64,179.82,176.44,179.34,179.34,"27,198,400"
"Jun 3, 2024",177.7,178.7,175.92,178.34,178.34,"30,786,600"
"May 31, 2024",178.3,179.21,173.87,176.44,176.44,"58,903,900"
"May 30, 2024",181.31,181.34,178.36,179.32,179.32,"29,249,200"
"May 29, 2024",181.7,184.08,181.55,182.02,182.02,"32,009,300"
"May 28, 2024",179.93,182.24,179.49,182.15,182.15,"29,927,000"
"May 24, 2024",181.65,182.44,180.3,180.75,180.75,"27,434,100"
"May 23, 2024",183.66,184.76,180.08,181.05,181.05,"33,670,200"
"May 22, 2024",183.88,185.22,181.97,183.13,183.13,"28,148,800"
"May 21, 2024",182.3,183.26,180.75,183.15,183.15,"50,839,100"
"May 20, 2024",184.34,186.67,183.28,183.54,183.54,"30,511,800"
"May 17, 2024",183.76,185.3,183.35,184.7,184.7,"33,175,700"
"May 16, 2024",185.6,187.31,183.46,183.63,183.63,"38,834,500"
"May 15, 2024",185.97,186.72,182.73,185.99,185.99,"75,459,900"
"May 14, 2024",183.82,187.72,183.45,187.07,187.07,"38,698,200"
"May 13, 2024",188,188.31,185.36,186.57,186.57,"24,898,600"
"May 10, 2024",189.16,189.89,186.93,187.48,187.48,"34,141,800"
"May 9, 2024",188.88,191.7,187.44,189.5,189.5,"43,368,400"
"May 8, 2024",187.44,188.43,186.39,188,188,"26,136,400"
"May 7, 2024",188.92,189.94,187.31,188.76,188.76,"34,048,900"
"May 6, 2024",186.28,188.75,184.8,188.7,188.7,"34,725,300"
"May 3, 2024",186.99,187.87,185.42,186.21,186.21,"39,172,000"
"May 2, 2024",180.85,185.1,179.91,184.72,184.72,"54,303,500"
"May 1, 2024",181.64,185.15,176.56,179,179,"94,645,100"
"Apr 30, 2024",181.09,182.99,174.8,175,175,"94,639,800"
"Apr 29, 2024",182.75,183.53,179.39,180.96,180.96,"54,063,900"
"Apr 26, 2024",177.8,180.82,176.13,179.62,179.62,"43,919,800"
"Apr 25, 2024",169.68,173.92,166.32,173.67,173.67,"49,249,400"
"Apr 24, 2024",179.94,180.32,176.18,176.59,176.59,"34,185,100"
"Apr 23, 2024",178.08,179.93,175.98,179.54,179.54,"37,046,500"
"Apr 22, 2024",176.94,178.87,174.56,177.23,177.23,"37,924,900"
"Apr 19, 2024",178.74,179,173.44,174.63,174.63,"55,950,000"
"Apr 18, 2024",181.47,182.39,178.65,179.22,179.22,"30,723,800"
"Apr 17, 2024",184.31,184.57,179.82,181.28,181.28,"31,359,700"
"Apr 16, 2024",183.27,184.83,182.26,183.32,183.32,"32,891,300"
"Apr 15, 2024",187.43,188.69,183,183.62,183.62,"48,052,400"
"Apr 12, 2024",187.72,188.38,185.08,186.13,186.13,"38,554,300"
"Apr 11, 2024",186.74,189.77,185.51,189.05,189.05,"40,020,700"
"Apr 10, 2024",182.77,186.27,182.67,185.95,185.95,"35,879,200"
"Apr 9, 2024",187.24,187.34,184.2,185.67,185.67,"36,546,900"
"Apr 8, 2024",186.9,187.29,184.81,185.19,185.19,"39,221,300"
"Apr 5, 2024",182.38,186.27,181.97,185.07,185.07,"42,335,200"
"Apr 4, 2024",184,185.1,180,180,180,"41,624,300"
"Apr 3, 2024",179.9,182.87,179.8,182.41,182.41,"31,046,600"
"Apr 2, 2024",179.07,180.79,178.38,180.69,180.69,"32,611,500"
"Apr 1, 2024",180.79,183,179.95,180.97,180.97,"29,174,500"
"Mar 28, 2024",180.17,181.7,179.26,180.38,180.38,"38,051,600"
"Mar 27, 2024",179.88,180,177.31,179.83,179.83,"33,272,600"
"Mar 26, 2024",180.15,180.45,177.95,178.3,178.3,"29,659,000"
"Mar 25, 2024",178.01,180.99,177.24,179.71,179.71,"29,815,500"
"Mar 22, 2024",177.75,179.26,176.75,178.87,178.87,"27,964,100"
"Mar 21, 2024",179.99,181.42,178.15,178.15,178.15,"32,824,300"
"Mar 20, 2024",176.14,178.53,174.64,178.15,178.15,"29,947,200"
"Mar 19, 2024",174.22,176.09,173.52,175.9,175.9,"26,880,900"
"Mar 18, 2024",175.8,176.69,174.28,174.48,174.48,"31,250,700"
"Mar 15, 2024",176.64,177.93,173.9,174.42,174.42,"72,115,500"
"Mar 14, 2024",177.69,179.53,176.47,178.75,178.75,"43,705,800"
"Mar 13, 2024",175.9,177.62,175.55,176.56,176.56,"30,772,600"
"Mar 12, 2024",173.5,176.76,171.98,175.39,175.39,"36,610,600"
"Mar 11, 2024",174.31,174.47,171.47,171.96,171.96,"28,484,800"
"Mar 8, 2024",176.44,178.79,174.33,175.35,175.35,"37,853,500"
"Mar 7, 2024",174.83,177.99,173.72,176.82,176.82,"34,063,300"
"Mar 6, 2024",175.54,176.46,173.26,173.51,173.51,"32,090,900"
"Mar 5, 2024",176.93,176.93,173.3,174.12,174.12,"37,228,300"
"Mar 4, 2024",177.53,180.14,177.49,177.58,177.58,"37,381,500"
"Mar 1, 2024",176.75,178.73,176.07,178.22,178.22,"31,956,200"
"Feb 29, 2024",173.01,177.22,172.85,176.76,176.76,"53,805,400"
"Feb 28, 2024",172.44,174.05,172.27,173.16,173.16,"28,180,500"
"Feb 27, 2024",174.08,174.62,172.86,173.54,173.54,"31,141,700"
"Feb 26, 2024",175.7,176.37,174.26,174.73,174.73,"44,368,600"
"Feb 23, 2024",174.28,175.75,173.7,174.99,174.99,"59,715,200"
"Feb 22, 2024",173.1,174.8,171.77,174.58,174.58,"55,392,400"
"Feb 21, 2024",168.94,170.23,167.14,168.59,168.59,"44,575,600"
"Feb 20, 2024",167.83,168.71,165.74,167.08,167.08,"41,980,300"
"Feb 16, 2024",168.74,170.42,167.17,169.51,169.51,"48,074,600"
"Feb 15, 2024",170.58,171.17,167.59,169.8,169.8,"49,855,200"
"Feb 14, 2024",169.21,171.21,168.28,170.98,170.98,"42,815,500"
"Feb 13, 2024",167.73,170.95,165.75,168.64,168.64,"56,345,100"
"Feb 12, 2024",174.8,175.39,171.54,172.34,172.34,"51,050,400"
"Feb 9, 2024",170.9,175,170.58,174.45,174.45,"56,986,000"
"Feb 8, 2024",169.65,171.43,168.88,169.84,169.84,"42,316,500"
"Feb 7, 2024",169.48,170.88,168.94,170.53,170.53,"47,174,100"
"Feb 6, 2024",169.39,170.71,167.65,169.15,169.15,"42,505,500"
"Feb 5, 2024",170.2,170.55,167.7,170.31,170.31,"55,081,300"
"Feb 2, 2024",169.19,172.5,167.33,171.81,171.81,"117,154,900"
"Feb 1, 2024",155.87,159.76,155.62,159.28,159.28,"76,542,400"
"Jan 31, 2024",157,159.01,154.81,155.2,155.2,"50,284,400"
"Jan 30, 2024",160.7,161.73,158.49,159,159,"45,207,400"
"Jan 29, 2024",159.34,161.29,158.9,161.26,161.26,"45,270,400"
"Jan 26, 2024",158.42,160.72,157.91,159.12,159.12,"51,047,400"
"Jan 25, 2024",156.95,158.51,154.55,157.75,157.75,"43,638,600"
"Jan 24, 2024",157.8,158.51,156.48,156.87,156.87,"48,547,300"
"Jan 23, 2024",154.85,156.21,153.93,156.02,156.02,"37,986,000"
"Jan 22, 2024",156.89,157.05,153.9,154.78,154.78,"43,687,500"
"Jan 19, 2024",153.83,155.76,152.74,155.34,155.34,"51,033,700"
"Jan 18, 2024",152.77,153.78,151.82,153.5,153.5,"37,850,200"
"Jan 17, 2024",151.49,152.15,149.91,151.71,151.71,"34,953,400"
"Jan 16, 2024",153.53,154.99,152.15,153.16,153.16,"41,384,600"
"Jan 12, 2024",155.39,156.2,154.01,154.62,154.62,"40,460,300"
"Jan 11, 2024",155.04,157.17,153.12,155.18,155.18,"49,072,700"
"Jan 10, 2024",152.06,154.42,151.88,153.73,153.73,"44,421,800"
"Jan 9, 2024",148.33,151.71,148.21,151.37,151.37,"43,812,600"
"Jan 8, 2024",146.74,149.4,146.15,149.1,149.1,"46,757,100"
"Jan 5, 2024",144.69,146.59,144.53,145.24,145.24,"45,124,800"
"Jan 4, 2024",145.59,147.38,144.05,144.57,144.57,"56,039,800"
"Jan 3, 2024",149.2,151.05,148.33,148.47,148.47,"49,425,500"
"Jan 2, 2024",151.54,152.38,148.39,149.93,149.93,"47,339,400"
"Dec 29, 2023",153.1,153.89,151.03,151.94,151.94,"39,789,000"
"Dec 28, 2023",153.72,154.08,152.95,153.38,153.38,"27,057,000"
"Dec 27, 2023",153.56,154.78,153.12,153.34,153.34,"31,434,700"
"Dec 26, 2023",153.56,153.98,153.03,153.41,153.41,"25,067,200"
"Dec 22, 2023",153.77,154.35,152.71,153.42,153.42,"29,480,100"
"Dec 21, 2023",153.3,153.97,152.1,153.84,153.84,"36,305,700"
"Dec 20, 2023",152.9,155.63,151.56,152.12,152.12,"50,322,100"
"Dec 19, 2023",154.4,155.12,152.69,153.79,153.79,"43,171,300"
"Dec 18, 2023",150.56,154.85,150.05,154.07,154.07,"62,512,800"
"Dec 15, 2023",148.38,150.57,147.88,149.97,149.97,"110,039,100"
"Dec 14, 2023",149.93,150.54,145.52,147.42,147.42,"58,400,800"
"Dec 13, 2023",148.12,149.46,146.82,148.84,148.84,"52,766,200"
"Dec 12, 2023",145.52,147.5,145.3,147.48,147.48,"44,944,300"
"Dec 11, 2023",145.66,146.19,143.64,145.89,145.89,"50,907,300"
"Dec 8, 2023",145.48,147.84,145.4,147.42,147.42,"41,858,000"
"Dec 7, 2023",146.15,147.92,145.34,146.88,146.88,"52,352,800"
"Dec 6, 2023",147.58,147.85,144.28,144.52,144.52,"39,679,000"
"Dec 5, 2023",143.55,148.57,143.13,146.88,146.88,"46,822,400"
"Dec 4, 2023",145.25,145.35,142.81,144.84,144.84,"48,294,200"
"Dec 1, 2023",146,147.25,145.55,147.03,147.03,"39,924,600"
"Nov 30, 2023",144.76,146.93,144.33,146.09,146.09,"65,814,000"
"Nov 29, 2023",147.85,148.54,145.97,146.32,146.32,"40,610,900"
"Nov 28, 2023",146.98,147.6,145.53,147.03,147.03,"42,711,700"
"Nov 27, 2023",147.53,149.26,146.88,147.73,147.73,"53,762,400"
"Nov 24, 2023",146.7,147.2,145.32,146.74,146.74,"22,378,400"
"Nov 22, 2023",144.57,147.74,144.57,146.71,146.71,"45,669,100"
"Nov 21, 2023",143.91,144.05,141.5,143.9,143.9,"71,226,000"
"Nov 20, 2023",145.13,146.63,144.73,146.13,146.13,"41,951,200"
"Nov 17, 2023",142.66,145.23,142.54,145.18,145.18,"49,636,700"
"Nov 16, 2023",140.91,143.32,139.52,142.83,142.83,"49,653,500"
"Nov 15, 2023",147.06,147.29,142.59,143.2,143.2,"63,875,700"
"Nov 14, 2023",145,147.26,144.68,145.8,145.8,"56,674,600"
"Nov 13, 2023",142.08,143.23,140.67,142.59,142.59,"35,680,600"
"Nov 10, 2023",140.46,143.65,139.91,143.56,143.56,"49,287,800"
"Nov 9, 2023",142.02,142.65,139.84,140.6,140.6,"36,235,400"
"Nov 8, 2023",142.97,143.12,141.22,142.08,142.08,"44,521,700"
"Nov 7, 2023",140.55,143.37,140.5,142.71,142.71,"53,553,500"
"Nov 6, 2023",138.76,140.73,138.36,139.74,139.74,"44,970,400"
"Nov 3, 2023",138.99,139.49,137.45,138.6,138.6,"44,007,200"
"Nov 2, 2023",138.73,138.81,136.47,138.07,138.07,"52,236,700"
"Nov 1, 2023",133.96,137.35,133.71,137,137,"61,529,400"
"Oct 31, 2023",132.75,133.57,131.71,133.09,133.09,"51,589,400"
"Oct 30, 2023",129.72,133,128.56,132.71,132.71,"72,485,500"
"Oct 27, 2023",126.2,130.02,125.52,127.74,127.74,"125,309,300"
"Oct 26, 2023",120.63,121.64,118.35,119.57,119.57,"100,419,500"
"Oct 25, 2023",126.04,126.34,120.79,121.39,121.39,"74,577,500"
"Oct 24, 2023",127.74,128.8,126.34,128.56,128.56,"46,477,400"
"Oct 23, 2023",124.63,127.88,123.98,126.56,126.56,"48,260,000"
"Oct 20, 2023",128.05,128.17,124.97,125.17,125.17,"56,343,300"
"Oct 19, 2023",130.57,132.24,127.47,128.4,128.4,"60,961,400"
"Oct 18, 2023",129.9,130.67,127.51,128.13,128.13,"42,699,500"
"Oct 17, 2023",130.39,132.58,128.71,131.47,131.47,"49,344,600"
"Oct 16, 2023",130.69,133.07,130.43,132.55,132.55,"42,832,900"
"Oct 13, 2023",132.98,133.31,128.95,129.79,129.79,"45,786,600"
"Oct 12, 2023",132.17,134.48,131.23,132.33,132.33,"55,528,600"
"Oct 11, 2023",129.74,132.05,129.61,131.83,131.83,"40,741,800"
"Oct 10, 2023",128.82,130.74,128.05,129.48,129.48,"42,178,600"
"Oct 9, 2023",126.22,128.79,124.76,128.26,128.26,"38,773,700"
"Oct 6, 2023",124.16,128.45,124.13,127.96,127.96,"46,795,900"
"Oct 5, 2023",126.71,126.73,124.33,125.96,125.96,"39,660,600"
"Oct 4, 2023",126.06,127.36,125.68,127,127,"44,203,900"
"Oct 3, 2023",128.06,128.52,124.25,124.72,124.72,"51,565,000"
"Oct 2, 2023",127.28,130.47,126.54,129.46,129.46,"48,029,700"
"Sep 29, 2023",128.2,129.15,126.32,127.12,127.12,"62,377,600"
"Sep 28, 2023",124.04,126.58,123.04,125.98,125.98,"54,555,000"
"Sep 27, 2023",125.76,127.48,124.13,125.98,125.98,"66,553,400"
"Sep 26, 2023",130.12,130.39,125.28,125.98,125.98,"73,048,200"
"Sep 25, 2023",129.36,131.78,128.77,131.27,131.27,"46,017,800"
"Sep 22, 2023",131.11,132.03,128.52,129.12,129.12,"59,904,300"
"Sep 21, 2023",131.94,132.24,129.31,129.33,129.33,"70,234,800"
"Sep 20, 2023",138.55,139.37,135.2,135.29,135.29,"46,263,700"
"Sep 19, 2023",138.7,138.84,135.56,137.63,137.63,"61,482,500"
"Sep 18, 2023",140.48,141.75,139.22,139.98,139.98,"42,823,500"
"Sep 15, 2023",142.69,143.57,140.09,140.39,140.39,"102,861,700"
"Sep 14, 2023",145.08,145.86,142.95,144.72,144.72,"64,033,600"
"Sep 13, 2023",140.95,144.98,140.87,144.85,144.85,"60,465,200"
"Sep 12, 2023",142.32,143,140.61,141.23,141.23,"42,668,500"
"Sep 11, 2023",138.75,143.62,138.64,143.1,143.1,"56,764,500"
"Sep 8, 2023",136.86,138.85,136.75,138.23,138.23,"38,348,200"
"Sep 7, 2023",133.9,138.03,133.16,137.85,137.85,"48,498,900"
"Sep 6, 2023",136.32,137.45,134.61,135.36,135.36,"41,785,500"
"Sep 5, 2023",137.73,137.8,135.82,137.27,137.27,"40,636,700"
"Sep 1, 2023",139.46,139.96,136.88,138.12,138.12,"40,948,300"
"Aug 31, 2023",135.06,138.79,135,138.01,138.01,"58,781,300"
"Aug 30, 2023",134.93,135.68,133.92,135.07,135.07,"36,137,000"
"Aug 29, 2023",133.38,135.14,133.25,134.91,134.91,"38,646,100"
"Aug 28, 2023",133.78,133.95,131.85,133.14,133.14,"34,108,400"
"Aug 25, 2023",132.47,133.87,130.58,133.26,133.26,"44,147,500"
"Aug 24, 2023",136.4,136.78,131.83,131.84,131.84,"43,646,300"
"Aug 23, 2023",134.5,135.95,133.22,135.52,135.52,"42,801,000"
"Aug 22, 2023",135.08,135.65,133.73,134.25,134.25,"32,935,100"
"Aug 21, 2023",133.74,135.19,132.71,134.68,134.68,"41,442,500"
"Aug 18, 2023",131.62,134.07,131.15,133.22,133.22,"48,469,400"
"Aug 17, 2023",135.46,136.09,133.53,133.98,133.98,"48,354,100"
"Aug 16, 2023",137.19,137.27,135.01,135.07,135.07,"41,675,900"
"Aug 15, 2023",140.05,141.28,137.23,137.67,137.67,"42,781,500"
"Aug 14, 2023",138.3,140.59,137.75,140.57,140.57,"47,148,700"
"Aug 11, 2023",137.4,139.33,137,138.41,138.41,"42,832,100"
"Aug 10, 2023",139.07,140.41,137.49,138.56,138.56,"58,928,400"
"Aug 9, 2023",139.97,140.32,137.1,137.85,137.85,"50,017,300"
"Aug 8, 2023",140.62,140.84,138.42,139.94,139.94,"51,710,500"
"Aug 7, 2023",140.99,142.54,138.95,142.22,142.22,"71,213,100"
"Aug 4, 2023",141.06,143.63,139.32,139.57,139.57,"152,938,700"
"Aug 3, 2023",127.48,129.84,126.41,128.91,128.91,"88,585,200"
"Aug 2, 2023",130.15,130.23,126.82,128.21,128.21,"51,027,600"
"Aug 1, 2023",133.55,133.69,131.62,131.69,131.69,"42,098,500"
"Jul 31, 2023",133.2,133.87,132.38,133.68,133.68,"41,901,500"
"Jul 28, 2023",129.69,133.01,129.33,132.21,132.21,"46,317,400"
"Jul 27, 2023",131,132.63,127.79,128.25,128.25,"52,610,700"
"Jul 26, 2023",126.51,129.08,126.11,128.15,128.15,"53,910,100"
"Jul 25, 2023",129.31,129.58,128.53,129.13,129.13,"39,236,700"
"Jul 24, 2023",130.31,131.66,128.35,128.8,128.8,"45,591,100"
"Jul 21, 2023",131.34,131.37,128.42,130,130,"133,265,000"
"Jul 20, 2023",134.07,134.79,129.33,129.96,129.96,"59,820,600"
"Jul 19, 2023",133.39,135.99,132.53,135.36,135.36,"54,531,000"
"Jul 18, 2023",132.71,133.86,131.35,132.83,132.83,"54,969,100"
"Jul 17, 2023",134.56,135.62,133.21,133.56,133.56,"48,450,200"
"Jul 14, 2023",134.06,136.65,134.06,134.68,134.68,"54,388,100"
"Jul 13, 2023",134.04,134.67,132.71,134.3,134.3,"61,170,900"
"Jul 12, 2023",130.31,131.26,128.83,130.8,130.8,"54,022,800"
"Jul 11, 2023",127.75,129.77,127.35,128.78,128.78,"49,951,500"
"Jul 10, 2023",129.07,129.28,125.92,127.13,127.13,"61,889,300"
"Jul 7, 2023",128.59,130.97,128.13,129.78,129.78,"41,928,700"
"Jul 6, 2023",128.25,128.73,127.37,128.36,128.36,"40,639,900"
"Jul 5, 2023",130.24,131.4,129.64,130.38,130.38,"35,895,400"
"Jul 3, 2023",130.82,131.85,130.07,130.22,130.22,"28,264,800"
"Jun 30, 2023",129.47,131.25,128.95,130.36,130.36,"54,310,500"
"Jun 29, 2023",128.77,129.26,127.26,127.9,127.9,"40,761,000"
"Jun 28, 2023",128.94,131.48,128.44,129.04,129.04,"52,149,500"
"Jun 27, 2023",128.63,130.09,127.55,129.18,129.18,"46,801,000"
"Jun 26, 2023",129.33,131.49,127.1,127.33,127.33,"59,989,300"
"Jun 23, 2023",129.11,130.84,128.28,129.33,129.33,"71,855,200"
"Jun 22, 2023",125.31,130.33,125.14,130.15,130.15,"90,354,600"
"Jun 21, 2023",125.64,126.73,123.85,124.83,124.83,"52,137,700"
"Jun 20, 2023",124.97,127.25,124.5,125.78,125.78,"56,930,100"
"Jun 16, 2023",127.71,127.9,125.3,125.49,125.49,"84,188,100"
"Jun 15, 2023",125.21,127.69,124.32,127.11,127.11,"60,458,500"
"Jun 14, 2023",126.7,126.95,124.12,126.42,126.42,"52,422,500"
"Jun 13, 2023",128.12,128.41,125.18,126.66,126.66,"50,564,800"
"Jun 12, 2023",124.02,126.78,123.53,126.57,126.57,"51,338,000"
"Jun 9, 2023",124.08,125.8,123.19,123.43,123.43,"51,330,000"
"Jun 8, 2023",123.01,125.63,122.26,124.25,124.25,"62,159,300"
"Jun 7, 2023",127.01,127.37,120.63,121.23,121.23,"95,663,300"
"Jun 6, 2023",125.07,127.4,125,126.61,126.61,"45,695,200"
"Jun 5, 2023",123.36,125.8,123.03,125.3,125.3,"47,950,100"
"Jun 2, 2023",124.92,126.39,124.02,124.25,124.25,"61,215,000"
"Jun 1, 2023",120.69,123.49,119.93,122.77,122.77,"54,375,100"
"May 31, 2023",121.45,122.04,119.17,120.58,120.58,"72,800,800"
"May 30, 2023",122.37,122.92,119.86,121.66,121.66,"64,314,800"
"May 26, 2023",116.04,121.5,116.02,120.11,120.11,"96,779,900"
"May 25, 2023",116.63,116.87,114.31,115,115,"66,496,700"
"May 24, 2023",115.35,117.34,115.02,116.75,116.75,"63,487,900"
"May 23, 2023",114.27,117.14,113.78,114.99,114.99,"67,576,300"
"May 22, 2023",116.77,116.77,114.25,115.01,115.01,"70,741,100"
"May 19, 2023",118.16,118.31,115.7,116.25,116.25,"54,990,200"
"May 18, 2023",116.69,118.6,116.34,118.15,118.15,"73,174,100"
"May 17, 2023",114.89,115.83,114.22,115.5,115.5,"65,655,200"
"May 16, 2023",111.05,114.79,111.05,113.4,113.4,"71,472,900"
"May 15, 2023",111.15,112.29,109.25,111.2,111.2,"53,011,100"
"May 12, 2023",112.16,112.64,109.32,110.26,110.26,"49,810,100"
"May 11, 2023",111.03,113.28,110.49,112.18,112.18,"74,924,800"
"May 10, 2023",108.1,110.67,108.05,110.19,110.19,"78,627,600"
"May 9, 2023",105.48,106.79,105.16,106.62,106.62,"44,089,400"
"May 8, 2023",105.04,106.1,104.7,105.83,105.83,"49,430,900"
"May 5, 2023",104.27,105.76,103.55,105.66,105.66,"56,912,900"
"May 4, 2023",104.04,105.39,103.31,104,104,"45,345,500"
"May 3, 2023",103.74,105.96,103.28,103.65,103.65,"65,051,900"
"May 2, 2023",101.47,103.9,101.15,103.63,103.63,"73,469,400"
"May 1, 2023",104.95,105.23,101.82,102.05,102.05,"74,728,100"
"Apr 28, 2023",107.73,109.48,104.33,105.45,105.45,"130,565,000"
"Apr 27, 2023",108.16,110.86,106.8,109.82,109.82,"149,961,200"
"Apr 26, 2023",105.04,106.62,104.1,104.98,104.98,"73,803,800"
